order_ID,prod_ID,quantity
3785,1023,5
1044,9858,4
3112,8715,5
3343,8890,7
2970,2158,5
5794,3662,8
5939,5828,2
4246,8602,7
6925,1170,6
6692,887,7
3833,9676,7
2429,6924,3
2886,6080,4
5221,7603,4
6450,1204,7
657,1515,4
6993,4198,9
4230,6615,2
1342,1830,1
1175,28,8
6047,6265,5
5492,780,5
4611,4371,7
2007,2790,6
3640,5854,1
2697,4792,9
1435,7140,5
519,427,3
3324,2398,5
341,4405,7
5633,4167,9
2671,1440,9
1008,7421,3
4696,6590,7
3072,8768,1
4767,1048,7
6587,7069,5
5693,5636,5
3314,1487,1
5486,2656,7
5463,1629,9
3085,6809,1
1780,8413,7
36,9266,9
308,5866,5
1698,6299,9
1998,2479,5
5581,2831,8
4611,5330,1
4039,5467,10
1164,8754,9
145,9447,4
2633,2671,10
4806,9740,8
6169,217,10
3253,9707,7
1036,1481,9
3047,4711,5
2334,6268,9
860,3764,3
5955,2051,9
1555,9594,4
4601,9118,8
240,3563,8
4120,8638,7
4998,3062,9
1662,2684,7
2299,740,6
5908,8855,2
872,4497,5
706,9258,9
4066,232,8
169,1695,10
6976,8652,5
1354,1788,3
802,3046,3
2828,1982,5
91,4850,6
371,4369,3
6764,6301,7
917,8734,7
2643,7071,6
2403,8561,7
6831,4437,5
2203,2524,2
4905,6680,10
4250,6442,2
2472,6251,6
3650,3822,3
6284,7185,7
1472,8426,7
3022,1802,4
2493,5457,4
4275,4094,1
953,3825,4
2960,8800,4
1635,2441,6
928,1328,9
1245,3462,5
4343,9389,10
2145,2570,9
4200,8153,8
2630,7460,3
5597,8775,8
3669,628,6
2905,8998,2
637,663,1
3616,7928,4
5615,7079,3
3466,1529,3
5054,2293,5
1678,7966,8
2293,6248,3
4270,9776,1
1752,7267,4
2274,5725,2
5828,2237,1
1617,3924,7
5663,6556,9
1586,4295,7
1235,2785,9
3149,6617,4
6172,2164,9
3613,5852,5
2861,2102,5
3383,8097,10
3558,8304,5
2846,1896,9
3977,18,5
326,5775,3
5378,1134,9
1652,6079,10
5752,3392,6
3861,3948,10
4290,5499,3
2462,2390,4
6074,6158,1
2928,2630,3
807,5983,1
6924,2405,10
5465,5123,5
6554,4829,4
2028,5794,1
171,3173,2
1256,3191,3
6621,8545,6
3472,9158,1
4529,6117,10
4839,7149,6
4887,3402,2
767,8894,8
3451,6043,5
634,3957,6
5122,9344,7
3441,9016,8
5753,129,9
3443,6750,1
5857,6082,6
4740,1642,9
3610,7889,5
6995,3272,5
5910,1359,2
5682,7418,5
4312,4698,2
5287,8145,2
2703,4630,7
3862,9670,9
3964,2919,10
6093,6034,9
4720,8442,8
2351,6112,9
6303,9650,2
4798,3623,4
2725,6797,4
154,5120,5
1898,6513,9
15,9010,2
5875,6694,6
4186,8158,9
66,4066,2
3409,1410,9
1876,7544,6
645,911,9
3847,9298,6
1439,3389,6
505,5867,2
2024,5888,10
5466,2601,8
6294,5887,9
2043,9304,2
6765,4334,6
6213,6047,5
6966,8458,5
2325,1740,6
4117,9012,3
1528,2595,4
5621,999,1
6258,6879,5
2811,6094,2
5575,2499,6
6338,8710,1
1360,6735,6
3005,4172,1
1763,7921,7
4325,3433,1
6977,8952,9
5716,4586,5
3501,2401,8
2922,3591,5
765,2048,1
4032,2719,7
646,1135,4
5872,704,5
3285,7320,2
5176,2396,3
3686,8532,8
4799,4918,2
6932,6143,10
6375,1617,2
4634,7406,9
5537,2628,4
5004,3203,4
6431,117,3
5748,6296,7
1811,9949,5
98,3111,10
1667,658,2
5238,7698,10
5059,4222,9
2412,7975,9
519,7838,2
4220,8445,7
6601,8355,8
636,2291,1
3224,3960,3
1047,35,4
4159,3408,2
746,9095,5
803,6147,4
5423,8891,6
1644,515,10
4000,1335,9
3071,6599,7
982,1569,10
3347,4523,8
2574,4669,6
4161,2168,2
2179,1791,4
6488,4755,5
5744,8804,7
3794,9400,10
2975,7186,2
6999,3199,10
1927,3080,1
5429,1653,8
4743,5161,5
2684,6866,4
2888,3270,6
90,9599,1
6268,6356,4
566,5044,2
6204,9299,1
4474,8542,3
3775,2783,5
589,2004,6
736,1418,6
5127,9283,2
5650,3115,2
6148,4081,4
6050,7621,9
4647,3728,5
6645,5153,2
4775,47,9
4364,1839,3
3881,713,6
2357,2830,2
2440,7935,6
3210,7982,10
968,5465,8
5443,5894,9
4847,961,3
3029,3785,4
4391,4528,3
3217,8053,2
674,7994,9
3271,7744,1
6255,2738,10
5077,5148,6
2386,4853,10
811,5618,2
2266,6962,6
1835,2877,10
345,1086,8
1880,3525,8
6905,3903,6
3157,5280,9
1,4636,5
5263,166,4
4867,9267,4
1658,9971,1
1334,5619,9
3689,3727,8
2073,9968,7
2114,1184,3
1098,2770,4
3772,5278,4
6017,1818,5
4351,6223,1
4363,1458,3
5444,8834,9
1510,7725,7
2177,1059,3
6422,1393,8
6291,5696,2
6613,5734,6
6671,9293,1
1625,4197,8
2924,3561,10
6786,2146,8
2780,3371,2
4777,9061,7
693,729,5
5310,5727,1
70,9787,5
3563,5356,1
4630,5573,2
1797,5897,4
6129,4077,2
1654,359,6
4481,2768,6
3209,9990,4
4309,5771,9
3944,4987,2
104,4930,2
338,755,3
3470,5877,6
5304,1450,3
683,8541,10
2740,7397,10
4245,760,1
881,615,8
737,6500,8
3878,942,2
3367,9212,4
6297,1368,8
3056,2359,6
5038,3761,8
287,4234,5
1930,7532,7
1321,9046,8
6294,7212,4
4712,5431,2
2672,945,5
971,4400,1
5927,8150,3
439,2741,8
2213,9677,9
3441,140,5
6440,1198,3
1158,5682,5
242,9549,4
3904,3195,9
1256,2781,1
5012,7175,7
2693,5500,9
3692,3067,6
3737,3463,2
2634,9919,10
6678,6130,9
77,3372,6
2119,1457,1
3219,4664,3
3571,5588,5
3240,6033,3
404,2480,1
102,2669,9
4637,7944,10
3591,3264,7
4008,9837,4
4365,6839,7
3110,3878,10
6711,6233,8
232,1045,5
6784,3109,1
6380,5587,7
6825,5705,10
1102,6858,8
4758,3397,5
296,6985,10
2712,8869,6
2412,5593,3
5884,3217,9
260,3802,7
6481,9360,10
3008,9806,1
4784,5658,5
1010,6706,6
5019,1080,7
3492,3966,5
3073,4604,9
386,2261,1
3329,6543,5
2171,8259,8
6928,2220,2
6627,9737,6
4233,7385,5
3377,1374,7
6263,1190,5
6917,3262,2
6215,9893,5
3954,8842,10
2707,9522,2
6460,1564,8
649,4998,4
1279,8809,7
2391,873,7
1542,230,8
996,1372,2
2046,180,1
5903,9425,3
1094,8293,4
4256,7123,1
2332,8017,3
2714,3797,5
1738,7158,6
2954,7241,6
606,745,10
1661,3461,5
4833,2281,5
4927,9504,6
5105,4044,6
4999,4665,5
3438,590,8
2669,2418,6
4097,9125,10
3489,7951,4
5235,8163,7
5192,7061,4
1377,9406,5
3135,5844,1
893,751,2
906,2305,8
3707,5449,6
4410,6010,8
3567,844,9
519,9119,1
6652,583,3
3579,6381,2
1573,4638,1
2328,4919,2
3075,4312,4
954,5080,4
1877,2995,10
2719,3792,10
6071,7955,5
3702,1263,6
6420,7864,1
3475,7649,10
5225,1624,8
6197,7733,6
1531,3093,9
3929,7849,1
695,8411,7
4187,7686,5
6469,6958,8
2679,3436,4
3686,3068,1
6905,7230,7
6703,2643,9
5694,4929,10
3214,9215,7
5519,9056,2
1930,1008,1
1201,9353,10
2323,7303,2
73,3056,10
2563,3221,2
3990,4620,1
831,1099,8
3533,7429,6
6941,4474,1
6301,5724,7
3344,2618,10
5318,8263,8
4618,433,9
5018,6364,3
1388,8435,1
4363,4445,6
3686,3188,5
314,549,6
4128,260,6
31,1488,4
404,4001,10
5575,6660,3
2303,9123,2
3269,6949,4
6716,2944,10
1436,9196,6
3549,1012,3
4776,7006,6
2499,1868,4
6974,3343,9
5071,8245,9
5552,2888,7
5135,5620,1
1395,2748,7
838,845,8
4443,4366,1
530,1280,5
3838,3568,4
2629,8475,2
2219,7060,1
5012,6486,4
3029,3927,6
5849,7400,4
3469,1731,6
2564,4114,7
5318,8284,2
53,2254,8
6211,8341,9
5151,4045,4
1886,4321,8
978,4614,9
6481,1471,4
2799,1942,9
3126,5911,2
450,5476,8
5071,2542,7
1295,4625,3
6187,4674,4
508,7551,6
2469,7036,3
57,6339,8
243,5723,1
4507,809,1
6243,5571,5
974,341,7
145,8454,10
6992,4429,4
3618,3380,4
2785,8227,9
3068,4480,10
2,4087,2
3616,5827,5
6227,8057,6
3232,8062,10
2877,7289,9
2383,3261,4
4976,6114,9
6721,2720,7
6781,2552,1
2481,1842,1
5543,2510,6
2828,5572,3
1425,8248,2
1385,3274,8
3729,5362,5
6932,2994,9
1206,560,4
1039,4212,5
4284,7952,10
3551,288,2
639,1517,1
974,4102,2
4785,8402,3
4960,6633,6
6801,7064,1
5912,150,5
4420,5606,1
2346,2818,2
1100,1882,4
1042,2463,3
6974,4888,8
2875,7570,4
3918,4632,8
650,6558,8
6097,2295,1
3581,6376,3
4395,9310,2
2566,1943,8
2408,2955,7
2693,5423,8
3416,1136,8
2651,8453,2
5901,9281,7
5420,764,7
5801,3136,2
5106,4799,2
4718,6709,9
4427,5424,7
2337,9531,9
3746,9763,10
4060,7842,1
4801,4609,2
3280,7151,9
3401,3292,8
3017,4723,8
2563,4541,5
5029,8872,1
3370,4902,5
2607,6905,9
2160,3073,9
6235,4104,8
5950,4433,5
1467,4491,3
5842,6173,2
2738,5502,8
6541,5439,5
5466,2056,3
5459,6448,2
1964,9801,4
375,6785,3
1978,2272,2
325,9578,3
502,3430,6
523,7087,6
1876,8236,10
6475,1652,7
5874,1531,5
1441,2357,4
493,2184,5
5107,9684,2
835,8229,5
1767,6267,6
5583,191,4
5190,9822,9
3505,4805,2
3144,1694,5
4458,3107,5
6000,5265,8
531,921,5
5626,1360,3
6000,4211,4
4442,5008,6
4339,1659,2
4957,2929,8
5099,3457,5
5629,7645,5
1288,5770,4
2405,2106,1
2937,8363,5
5087,2544,10
1076,7795,6
2304,7063,5
118,5471,7
589,2111,3
5867,6918,9
2619,1878,2
3251,9814,1
588,919,3
1181,2908,9
301,4439,3
359,8168,10
5642,6501,5
4155,8639,4
4133,9317,1
673,3369,5
4093,8461,1
2043,9333,6
3043,766,4
4416,4018,10
6131,1937,10
5420,1336,6
3646,3955,4
3506,8006,8
4531,5403,3
1132,4881,6
3262,2284,3
3840,7738,5
5840,84,2
744,8101,1
840,6227,8
4464,516,9
6706,3789,8
4482,8345,9
6131,5344,4
2854,3629,8
350,7409,3
4497,8518,3
3805,8761,6
726,4781,5
4180,8312,8
1300,5840,10
6911,9887,2
648,3110,2
4496,6978,6
5910,6751,3
1173,585,10
2380,1122,8
2625,3374,7
5151,2118,7
1223,7046,8
3611,5930,2
4326,5464,1
1616,4473,6
5865,3155,8
478,1608,8
3029,5041,2
210,93,2
4604,7184,7
2986,6563,4
5879,1224,3
1840,1067,5
1098,1597,5
572,6986,10
3837,4606,2
1878,3285,8
2310,9440,6
915,2119,6
6909,2484,5
4262,4936,5
6872,9815,9
3048,6280,2
1843,7972,2
207,7578,10
1383,8014,9
2757,2750,10
4585,6803,4
177,5631,6
6526,9013,1
3919,1888,10
3651,6426,10
3941,8854,5
5233,318,7
3244,1468,9
5732,3954,6
2415,5589,2
5210,4213,9
6883,1542,2
1065,4776,1
259,8539,10
24,5448,7
2001,9357,10
4937,3244,1
2759,2213,1
1041,7692,7
4332,7737,7
3204,2762,6
3512,6092,3
5233,7731,5
3993,8580,6
648,4221,5
5216,4108,5
1328,2776,5
1998,5916,3
4401,2266,9
1421,5848,9
6751,2913,4
3239,350,6
3776,4777,5
1851,7998,5
5869,5829,6
286,1003,9
6367,3656,8
5616,1846,1
6524,2809,2
5915,495,2
4258,1320,2
934,1628,3
6810,1952,9
1070,7114,4
5778,5796,1
6253,324,10
1221,3320,1
2011,5417,5
3732,4931,7
6247,1137,7
5449,6277,5
2766,6362,8
4968,5310,10
