cust_ID,order_date,payment_type,payment_date
702,2023-06-06T13:45:21.227,credit card,2023-06-07T13:45:21.227
1443,2023-06-06T13:59:27.227,credit card,2023-06-07T13:59:27.227
4338,2023-06-06T14:13:33.227,bank transfer,2023-06-07T14:13:33.227
129,2023-06-06T14:27:39.227,bank transfer,2023-06-07T14:27:39.227
879,2023-06-06T14:41:45.227,credit card,2023-06-07T14:41:45.227
2517,2023-06-06T14:55:51.227,credit card,2023-06-07T14:55:51.227
3288,2023-06-06T15:09:57.227,credit card,2023-06-07T15:09:57.227
4617,2023-06-06T15:24:03.227,cash,2023-06-07T15:24:03.227
4212,2023-06-06T15:38:09.227,cash,2023-06-07T15:38:09.227
3408,2023-06-06T15:52:15.227,bank transfer,2023-06-07T15:52:15.227
1833,2023-06-06T16:06:21.227,credit card,2023-06-07T16:06:21.227
4245,2023-06-06T16:20:27.227,credit card,2023-06-07T16:20:27.227
2481,2023-06-06T16:34:33.227,bank transfer,2023-06-07T16:34:33.227
2097,2023-06-06T16:48:39.227,debit card,2023-06-07T16:48:39.227
897,2023-06-06T17:02:45.227,bank transfer,2023-06-07T17:02:45.227
1623,2023-06-06T17:16:51.227,debit card,2023-06-07T17:16:51.227
4902,2023-06-06T17:30:57.227,credit card,2023-06-07T17:30:57.227
1722,2023-06-06T17:45:03.227,credit card,2023-06-07T17:45:03.227
3084,2023-06-06T17:59:09.227,bank transfer,2023-06-07T17:59:09.227
3684,2023-06-06T18:13:15.227,cash,2023-06-07T18:13:15.227
4131,2023-06-06T18:27:21.227,debit card,2023-06-07T18:27:21.227
2025,2023-06-06T18:41:27.227,cash,2023-06-07T18:41:27.227
4392,2023-06-06T18:55:33.227,credit card,2023-06-07T18:55:33.227
4338,2023-06-06T19:09:39.227,credit card,2023-06-07T19:09:39.227
3450,2023-06-06T19:23:45.227,cash,2023-06-07T19:23:45.227
2097,2023-06-06T19:37:51.227,bank transfer,2023-06-07T19:37:51.227
3837,2023-06-06T19:51:57.227,debit card,2023-06-07T19:51:57.227
2388,2023-06-06T20:06:03.227,cash,2023-06-07T20:06:03.227
3123,2023-06-06T20:20:09.227,credit card,2023-06-07T20:20:09.227
5013,2023-06-06T20:34:15.227,credit card,2023-06-07T20:34:15.227
879,2023-06-06T20:48:21.227,bank transfer,2023-06-07T20:48:21.227
4230,2023-06-06T21:02:27.227,debit card,2023-06-07T21:02:27.227
2793,2023-06-06T21:16:33.227,debit card,2023-06-07T21:16:33.227
4620,2023-06-06T21:30:39.227,bank transfer,2023-06-07T21:30:39.227
6600,2023-06-06T21:44:45.227,bank transfer,2023-06-07T21:44:45.227
768,2023-06-06T21:58:51.227,bank transfer,2023-06-07T21:58:51.227
1335,2023-06-06T22:12:57.227,cash,2023-06-07T22:12:57.227
4713,2023-06-06T22:27:03.227,bank transfer,2023-06-07T22:27:03.227
5019,2023-06-06T22:41:09.227,debit card,2023-06-07T22:41:09.227
2802,2023-06-06T22:55:15.227,cash,2023-06-07T22:55:15.227
5694,2023-06-06T23:09:21.227,cash,2023-06-07T23:09:21.227
2022,2023-06-06T23:23:27.227,debit card,2023-06-07T23:23:27.227
1293,2023-06-06T23:37:33.227,credit card,2023-06-07T23:37:33.227
921,2023-06-06T23:51:39.227,bank transfer,2023-06-07T23:51:39.227
2043,2023-06-07T00:05:45.227,credit card,2023-06-08T00:05:45.227
1776,2023-06-07T00:19:51.227,bank transfer,2023-06-08T00:19:51.227
4653,2023-06-07T00:33:57.227,cash,2023-06-08T00:33:57.227
3669,2023-06-07T00:48:03.227,bank transfer,2023-06-08T00:48:03.227
2304,2023-06-07T01:02:09.227,credit card,2023-06-08T01:02:09.227
222,2023-06-07T01:16:15.227,cash,2023-06-08T01:16:15.227
84,2023-06-07T01:30:21.227,cash,2023-06-08T01:30:21.227
4497,2023-06-07T01:44:27.227,debit card,2023-06-08T01:44:27.227
9,2023-06-07T01:58:33.227,bank transfer,2023-06-08T01:58:33.227
1248,2023-06-07T02:12:39.227,debit card,2023-06-08T02:12:39.227
5712,2023-06-07T02:26:45.227,debit card,2023-06-08T02:26:45.227
2469,2023-06-07T02:40:51.227,debit card,2023-06-08T02:40:51.227
297,2023-06-07T02:54:57.227,bank transfer,2023-06-08T02:54:57.227
6060,2023-06-07T03:09:03.227,bank transfer,2023-06-08T03:09:03.227
2859,2023-06-07T03:23:09.227,debit card,2023-06-08T03:23:09.227
3351,2023-06-07T03:37:15.227,cash,2023-06-08T03:37:15.227
6651,2023-06-07T03:51:21.227,credit card,2023-06-08T03:51:21.227
2313,2023-06-07T04:05:27.227,cash,2023-06-08T04:05:27.227
2844,2023-06-07T04:19:33.227,bank transfer,2023-06-08T04:19:33.227
2871,2023-06-07T04:33:39.227,cash,2023-06-08T04:33:39.227
2850,2023-06-07T04:47:45.227,credit card,2023-06-08T04:47:45.227
5325,2023-06-07T05:01:51.227,cash,2023-06-08T05:01:51.227
6870,2023-06-07T05:15:57.227,credit card,2023-06-08T05:15:57.227
3696,2023-06-07T05:30:03.227,debit card,2023-06-08T05:30:03.227
579,2023-06-07T05:44:09.227,debit card,2023-06-08T05:44:09.227
3690,2023-06-07T05:58:15.227,credit card,2023-06-08T05:58:15.227
4239,2023-06-07T06:12:21.227,cash,2023-06-08T06:12:21.227
2649,2023-06-07T06:26:27.227,cash,2023-06-08T06:26:27.227
732,2023-06-07T06:40:33.227,debit card,2023-06-08T06:40:33.227
3948,2023-06-07T06:54:39.227,debit card,2023-06-08T06:54:39.227
3957,2023-06-07T07:08:45.227,cash,2023-06-08T07:08:45.227
1458,2023-06-07T07:22:51.227,bank transfer,2023-06-08T07:22:51.227
5958,2023-06-07T07:36:57.227,debit card,2023-06-08T07:36:57.227
3069,2023-06-07T07:51:03.227,debit card,2023-06-08T07:51:03.227
5130,2023-06-07T08:05:09.227,debit card,2023-06-08T08:05:09.227
2610,2023-06-07T08:19:15.227,debit card,2023-06-08T08:19:15.227
5481,2023-06-07T08:33:21.227,debit card,2023-06-08T08:33:21.227
1176,2023-06-07T08:47:27.227,cash,2023-06-08T08:47:27.227
5403,2023-06-07T09:01:33.227,bank transfer,2023-06-08T09:01:33.227
5619,2023-06-07T09:15:39.227,bank transfer,2023-06-08T09:15:39.227
1695,2023-06-07T09:29:45.227,bank transfer,2023-06-08T09:29:45.227
2631,2023-06-07T09:43:51.227,credit card,2023-06-08T09:43:51.227
567,2023-06-07T09:57:57.227,bank transfer,2023-06-08T09:57:57.227
6249,2023-06-07T10:12:03.227,cash,2023-06-08T10:12:03.227
